,0,1
0,1,53
1,1,54
2,1,55
3,1,56
4,1,57
5,1,58
6,1,59
7,1,60
8,1,61
9,1,62
10,1,63
11,1,64
12,1,65
13,1,66
14,1,67
15,1,68
16,1,69
17,1,70
18,1,71
19,1,72
20,1,73
21,1,74
22,1,75
23,2,49
24,2,50
25,2,51
26,2,52
27,2,53
28,2,54
29,2,55
30,2,56
31,2,57
32,2,58
33,2,59
34,2,60
35,2,61
36,2,62
37,2,63
38,2,64
39,2,65
40,2,66
41,2,67
42,2,68
43,2,69
44,2,70
45,2,71
46,2,72
47,2,73
48,2,74
49,2,75
50,2,76
51,2,77
52,2,78
53,2,79
54,3,45
55,3,46
56,3,47
57,3,48
58,3,49
59,3,50
60,3,51
61,3,52
62,3,53
63,3,54
64,3,55
65,3,56
66,3,57
67,3,58
68,3,59
69,3,60
70,3,61
71,3,62
72,3,63
73,3,64
74,3,65
75,3,66
76,3,67
77,3,68
78,3,69
79,3,70
80,3,71
81,3,72
82,3,73
83,3,74
84,3,75
85,3,76
86,3,77
87,3,78
88,3,79
89,3,80
90,3,81
91,3,82
92,3,83
93,4,42
94,4,43
95,4,44
96,4,45
97,4,46
98,4,47
99,4,48
100,4,49
101,4,50
102,4,51
103,4,52
104,4,53
105,4,54
106,4,55
107,4,56
108,4,57
109,4,58
110,4,59
111,4,60
112,4,61
113,4,62
114,4,63
115,4,64
116,4,65
117,4,66
118,4,67
119,4,68
120,4,69
121,4,70
122,4,71
123,4,72
124,4,73
125,4,74
126,4,75
127,4,76
128,4,77
129,4,78
130,4,79
131,4,80
132,4,81
133,4,82
134,4,83
135,4,84
136,4,85
137,4,86
138,5,40
139,5,41
140,5,42
141,5,43
142,5,44
143,5,45
144,5,46
145,5,47
146,5,48
147,5,49
148,5,50
149,5,51
150,5,52
151,5,53
152,5,54
153,5,55
154,5,56
155,5,57
156,5,58
157,5,59
158,5,60
159,5,61
160,5,62
161,5,63
162,5,64
163,5,65
164,5,66
165,5,67
166,5,68
167,5,69
168,5,70
169,5,71
170,5,72
171,5,73
172,5,74
173,5,75
